"(28717.01, 130036.72)","(-31.395284, -53.80491)"
"(28926.74, 130009.88)","(-31.395526, -53.802704)"
"(29191.58, 129995.8)","(-31.395653, -53.799919)"
"(29939.49, 130024.41)","(-31.395395, -53.792056)"
"(30061.52, 130026.4)","(-31.395377, -53.790773)"
"(30712.02, 130044.81)","(-31.395211, -53.783934)"
"(30856.09, 130040.15)","(-31.395253, -53.782419)"
"(30986.15, 130024.96)","(-31.39539, -53.781051)"
"(31078.71, 129999.35)","(-31.395621, -53.780077)"
"(31380.8, 129879.27)","(-31.396704, -53.776897)"
"(31888.72, 129649.42)","(-31.398777, -53.771549)"
"(33234.48, 129061.0)","(-31.404084, -53.757379)"
"(33979.1, 128678.7)","(-31.407532, -53.749536)"
"(35907.56, 127548.54)","(-31.417725, -53.729216)"
"(36857.18, 126982.29)","(-31.422832, -53.719208)"
"(37482.12, 126606.53)","(-31.426221, -53.712621)"
"(37987.76, 126272.23)","(-31.429236, -53.70729)"
"(38051.94, 126222.01)","(-31.429689, -53.706613)"
"(38501.41, 125773.18)","(-31.433737, -53.701868)"
"(38725.56, 125535.35)","(-31.435882, -53.699501)"
"(38885.47, 125384.89)","(-31.437239, -53.697813)"
"(40388.26, 124056.91)","(-31.449216, -53.681951)"
"(40719.7, 123737.47)","(-31.452097, -53.678451)"
"(41019.52, 123430.9)","(-31.454862, -53.675284)"
"(41545.58, 122849.35)","(-31.460107, -53.669725)"
"(41673.16, 122715.41)","(-31.461315, -53.668377)"
"(41817.52, 122571.71)","(-31.462611, -53.666852)"
"(41900.19, 122495.54)","(-31.463298, -53.665979)"
"(41987.41, 122419.14)","(-31.463987, -53.665058)"
"(42093.89, 122333.43)","(-31.46476, -53.663934)"
"(42150.62, 122284.87)","(-31.465198, -53.663335)"
"(42326.85, 122150.93)","(-31.466406, -53.661475)"
"(42400.01, 122099.7)","(-31.466868, -53.660703)"
"(43207.96, 121562.72)","(-31.471711, -53.652178)"
"(43534.09, 121355.05)","(-31.473584, -53.648737)"
"(43703.5, 121256.04)","(-31.474477, -53.64695)"
"(43877.62, 121174.43)","(-31.475213, -53.645114)"
"(44082.24, 121090.5)","(-31.47597, -53.642957)"
"(44310.25, 121010.11)","(-31.476695, -53.640554)"
"(44573.49, 120947.13)","(-31.477263, -53.637781)"
"(44999.25, 120892.25)","(-31.477758, -53.633298)"
"(46442.16, 120755.53)","(-31.478991, -53.618107)"
"(46497.1, 88648.16)","(-31.768559, -53.616011)"
"(46515.7, 88718.91)","(-31.767921, -53.615818)"
"(46519.2, 88591.5)","(-31.76907, -53.615775)"
"(46542.27, 88749.29)","(-31.767647, -53.615539)"
"(46619.87, 88816.04)","(-31.767045, -53.614723)"
"(46629.72, 88564.22)","(-31.769316, -53.614607)"
"(46658.83, 88548.26)","(-31.76946, -53.614299)"
"(46670.74, 88836.22)","(-31.766863, -53.614187)"
"(46675.95, 120721.16)","(-31.479301, -53.615645)"
"(46706.95, 88548.26)","(-31.76946, -53.613791)"
"(46740.18, 88898.98)","(-31.766297, -53.613457)"
"(46747.62, 88533.73)","(-31.769591, -53.613361)"
"(46751.72, 88456.89)","(-31.770284, -53.613314)"
"(46754.73, 88494.59)","(-31.769944, -53.613284)"
"(46766.85, 88973.82)","(-31.765622, -53.613179)"
"(46799.69, 89028.38)","(-31.76513, -53.612835)"
"(46805.99, 120690.45)","(-31.479578, -53.614275)"
"(46826.92, 88392.13)","(-31.770868, -53.612517)"
"(46842.6, 89068.85)","(-31.764765, -53.612384)"
"(46904.99, 88331.81)","(-31.771412, -53.61169)"
"(46936.33, 89119.41)","(-31.764309, -53.611397)"
"(46964.91, 89155.89)","(-31.76398, -53.611097)"
"(47003.96, 88266.28)","(-31.772003, -53.610642)"
"(47012.27, 89299.49)","(-31.762685, -53.610604)"
"(47037.44, 120620.82)","(-31.480206, -53.611836)"
"(47094.04, 89447.18)","(-31.761353, -53.609748)"
"(47141.71, 88228.91)","(-31.77234, -53.609186)"
"(47152.11, 88203.97)","(-31.772565, -53.609075)"
"(47160.25, 88161.28)","(-31.77295, -53.608987)"
"(47167.69, 120573.14)","(-31.480636, -53.610463)"
"(47197.83, 87699.67)","(-31.777113, -53.608568)"
"(47223.54, 87606.09)","(-31.777957, -53.608292)"
"(47239.59, 89722.84)","(-31.758867, -53.608225)"
"(47253.46, 87519.71)","(-31.778736, -53.607972)"
"(47292.78, 87440.76)","(-31.779448, -53.607553)"
"(47306.06, 120515.26)","(-31.481158, -53.609004)"
"(47309.87, 89802.56)","(-31.758148, -53.607487)"
"(47352.3, 89840.26)","(-31.757808, -53.607041)"
"(47389.51, 120478.45)","(-31.48149, -53.608124)"
"(47396.49, 89889.6)","(-31.757363, -53.606577)"
"(47452.46, 87169.32)","(-31.781896, -53.605854)"
"(47515.64, 87047.68)","(-31.782993, -53.605181)"
"(47524.87, 87014.41)","(-31.783293, -53.605082)"
"(47528.24, 86433.05)","(-31.788536, -53.605018)"
"(47531.98, 86975.94)","(-31.78364, -53.605005)"
"(47550.01, 86305.65)","(-31.789685, -53.604782)"
"(47582.15, 86210.62)","(-31.790542, -53.604438)"
"(47596.52, 90081.88)","(-31.755629, -53.604475)"
"(47603.99, 86101.4)","(-31.791527, -53.604202)"
"(47653.69, 90132.44)","(-31.755173, -53.603874)"
"(47666.72, 85616.07)","(-31.795904, -53.603516)"
"(47692.62, 90191.09)","(-31.754644, -53.603466)"
"(47695.02, 83324.88)","(-31.816567, -53.603105)"
"(47700.9, 85533.13)","(-31.796652, -53.603151)"
"(47729.54, 90265.94)","(-31.753969, -53.60308)"
"(47742.54, 83506.84)","(-31.814926, -53.602612)"
"(47819.73, 90755.04)","(-31.749558, -53.602152)"
"(47857.42, 90997.88)","(-31.747368, -53.601766)"
"(47866.5, 84427.06)","(-31.806627, -53.601348)"
"(47895.3, 84512.0)","(-31.805861, -53.601048)"
"(47897.03, 91202.23)","(-31.745525, -53.601358)"
"(48008.79, 84888.12)","(-31.802469, -53.599868)"
"(48027.17, 91639.22)","(-31.741584, -53.600006)"
"(48638.73, 119883.04)","(-31.48686, -53.594948)"
"(48692.3, 92126.88)","(-31.737186, -53.593011)"
"(48735.25, 92173.45)","(-31.736766, -53.59256)"
"(48787.3, 92258.05)","(-31.736003, -53.592015)"
"(48912.44, 92349.42)","(-31.735179, -53.590699)"
"(48952.23, 92387.34)","(-31.734837, -53.590281)"
"(48986.99, 92423.71)","(-31.734509, -53.589916)"
"(49000.26, 92444.45)","(-31.734322, -53.589777)"
"(49009.77, 92470.17)","(-31.73409, -53.589678)"
"(49011.16, 92464.74)","(-31.734139, -53.589663)"
"(49011.21, 92475.6)","(-31.734041, -53.589663)"
"(49015.22, 92460.63)","(-31.734176, -53.58962)"
"(49015.31, 92479.6)","(-31.734005, -53.58962)"
"(49020.81, 92481.15)","(-31.733991, -53.589562)"
"(49026.3, 92479.6)","(-31.734005, -53.589504)"
"(49162.29, 92519.96)","(-31.733641, -53.588071)"
"(49380.37, 92643.37)","(-31.732528, -53.585776)"
"(49386.25, 92644.81)","(-31.732515, -53.585714)"
"(49389.97, 92670.09)","(-31.732287, -53.585676)"
"(49393.14, 92638.49)","(-31.732572, -53.585641)"
"(49396.22, 92630.06)","(-31.732648, -53.585608)"
"(49399.77, 92658.78)","(-31.732389, -53.585572)"
"(49401.15, 92670.2)","(-31.732286, -53.585558)"
"(49406.17, 92788.51)","(-31.731219, -53.585511)"
"(49407.29, 92784.19)","(-31.731258, -53.585499)"
"(49407.33, 92792.84)","(-31.73118, -53.585499)"
"(49410.57, 92795.94)","(-31.731152, -53.585465)"
"(49414.84, 92797.05)","(-31.731142, -53.58542)"
"(49419.19, 92795.94)","(-31.731152, -53.585374)"
"(49432.24, 92790.51)","(-31.731201, -53.585236)"
"(49491.24, 82583.07)","(-31.823257, -53.584096)"
"(49746.89, 82532.62)","(-31.823712, -53.581393)"
"(49866.84, 119295.72)","(-31.492157, -53.581993)"
